,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.263209,0.24,0.203761,0.212,0.275734,,
Normalized EBITDA,59816000.0,32180000.0,43755000.0,53007000.0,48334000.0,,
Total Unusual Items,,,0.0,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Reconciled Depreciation,11180000.0,10656000.0,11531000.0,11213000.0,11015000.0,,
Reconciled Cost Of Revenue,227545000.0,186450000.0,212705000.0,216645000.0,224022000.0,,
EBITDA,59816000.0,32180000.0,43755000.0,53007000.0,48334000.0,,
EBIT,48636000.0,21524000.0,32224000.0,41794000.0,37319000.0,,
Net Interest Income,-4443000.0,-4415000.0,-4888000.0,-5721000.0,-6173000.0,,
Interest Expense,4443000.0,4415000.0,4888000.0,5721000.0,6173000.0,,
Normalized Income,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Net Income From Continuing And Discontinued Operation,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Total Expenses,323475000.0,274186000.0,305376000.0,302095000.0,308484000.0,,
Total Operating Income As Reported,52047000.0,23227000.0,29634000.0,42175000.0,38151000.0,,
Diluted Average Shares,59073000.0,59173000.0,59209000.0,58871000.0,58692000.0,,
Basic Average Shares,58555000.0,58434000.0,58304000.0,58305000.0,58281000.0,,
Diluted EPS,0.55,0.22,0.37,0.48,0.38,,
Basic EPS,0.56,0.22,0.37,0.49,0.39,,
Diluted NI Availto Com Stockholders,32561000.0,13002000.0,21691000.0,28324000.0,22558000.0,,
Net Income Common Stockholders,32561000.0,13002000.0,21691000.0,28324000.0,22558000.0,,
Otherunder Preferred Stock Dividend,,,75000.0,119000.0,109000.0,150000.0,242000.0
Net Income,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Net Income Including Noncontrolling Interests,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Net Income Continuous Operations,32561000.0,13002000.0,21766000.0,28443000.0,22558000.0,,
Tax Provision,11632000.0,4107000.0,5570000.0,7630000.0,8588000.0,,
Pretax Income,44193000.0,17109000.0,27336000.0,36073000.0,31146000.0,,
Other Income Expense,-3411000.0,-1703000.0,2590000.0,-381000.0,-832000.0,,
Other Non Operating Income Expenses,-3411000.0,-1703000.0,2590000.0,-381000.0,-832000.0,,
Special Income Charges,,,0.0,0.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,,,,,,0.0,0.0
Net Non Operating Interest Income Expense,-4443000.0,-4415000.0,-4888000.0,-5721000.0,-6173000.0,,
Interest Expense Non Operating,4443000.0,4415000.0,4888000.0,5721000.0,6173000.0,,
Operating Income,52047000.0,23227000.0,29634000.0,42175000.0,38151000.0,,
Operating Expense,95930000.0,87736000.0,92671000.0,85450000.0,84462000.0,,
Selling General And Administration,95930000.0,87736000.0,92671000.0,85450000.0,84462000.0,,
Gross Profit,147977000.0,110963000.0,122305000.0,127625000.0,122613000.0,,
Cost Of Revenue,227545000.0,186450000.0,212705000.0,216645000.0,224022000.0,,
Total Revenue,375522000.0,297413000.0,335010000.0,344270000.0,346635000.0,,
Operating Revenue,375522000.0,297413000.0,335010000.0,344270000.0,346635000.0,,
