Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-11-07 01:00:00-05:00,0.27,0.24,-0.0977
2023-08-08 12:00:00-04:00,0.26,0.28,0.0724
2023-05-09 12:00:00-04:00,0.27,0.28,0.0409
2023-02-21 11:00:00-05:00,0.24,0.25,0.030699999999999998
2022-11-02 12:00:00-04:00,0.21,0.23,0.09789999999999999
2022-08-03 12:00:00-04:00,0.22,0.22,0.0079
2022-05-04 12:00:00-04:00,0.22,0.27,0.2024
2022-03-01 02:00:00-05:00,0.23,0.25,0.09210000000000002
2021-11-09 11:00:00-05:00,0.2,0.21,0.0617
2021-08-04 12:00:00-04:00,0.22,0.23,0.0698
2021-05-17 03:00:00-04:00,0.19,0.2,0.04070000000000001
2021-02-24 11:00:00-05:00,0.2,0.21,0.0587
