,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-8610.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.0,0.21,,
Normalized EBITDA,-1119000.0,-3477000.0,-23525000.0,-9965000.0,-8100000.0,,
Total Unusual Items,0.0,0.0,0.0,-3000.0,-41000.0,,
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,-3000.0,-41000.0,,
Net Income From Continuing Operation Net Minority Interest,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Reconciled Depreciation,285000.0,357000.0,319000.0,288000.0,302000.0,,
Reconciled Cost Of Revenue,13292000.0,11666000.0,29837000.0,12463000.0,8834000.0,,
EBITDA,-1119000.0,-3477000.0,-23525000.0,-9968000.0,-8141000.0,,
EBIT,-1404000.0,-3834000.0,-23844000.0,-10256000.0,-8443000.0,,
Net Interest Income,-2868000.0,-2871000.0,-2004000.0,-2861000.0,-2862000.0,,
Interest Expense,2868000.0,2871000.0,2871000.0,2861000.0,2862000.0,,
Normalized Income,-4430000.0,-7001000.0,-26802000.0,-13114000.0,-11288610.0,,
Net Income From Continuing And Discontinued Operation,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Total Expenses,25559000.0,22816000.0,41363000.0,24654000.0,21104000.0,,
Total Operating Income As Reported,-1504000.0,-3977000.0,-24089000.0,-10417000.0,-8403000.0,,
Diluted Average Shares,62290411.0,61657718.0,60760125.0,60608934.0,60363680.0,,
Basic Average Shares,62290411.0,61657718.0,60760125.0,60608934.0,60363680.0,,
Diluted EPS,-0.07,-0.11,-0.44,-0.22,-0.19,,
Basic EPS,-0.07,-0.11,-0.44,-0.22,-0.19,,
Diluted NI Availto Com Stockholders,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Average Dilution Earnings,,,0.0,0.0,,,
Net Income Common Stockholders,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Otherunder Preferred Stock Dividend,,,0.0,0.0,,,
Preferred Stock Dividends,,,,,,,0.0
Net Income,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Net Income Including Noncontrolling Interests,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Net Income Continuous Operations,-4430000.0,-7001000.0,-26802000.0,-13117000.0,-11321000.0,,
Tax Provision,158000.0,296000.0,87000.0,0.0,16000.0,,
Pretax Income,-4272000.0,-6705000.0,-26715000.0,-13117000.0,-11305000.0,,
Other Income Expense,100000.0,143000.0,-622000.0,161000.0,-40000.0,,
Other Non Operating Income Expenses,100000.0,143000.0,-622000.0,164000.0,1000.0,,
Special Income Charges,0.0,0.0,0.0,0.0,-41000.0,,
Other Special Charges,,,,,,,0.0
Restructuring And Mergern Acquisition,0.0,0.0,,,41000.0,-196000.0,
Gain On Sale Of Security,,,0.0,-3000.0,-41000.0,196000.0,1252000.0
Net Non Operating Interest Income Expense,-2868000.0,-2871000.0,-2004000.0,-2861000.0,-2862000.0,,
Interest Expense Non Operating,2868000.0,2871000.0,2871000.0,2861000.0,2862000.0,,
Operating Income,-1504000.0,-3977000.0,-24089000.0,-10417000.0,-8403000.0,,
Operating Expense,12267000.0,11150000.0,11526000.0,12191000.0,12270000.0,,
Research And Development,2267000.0,2164000.0,2252000.0,2433000.0,2704000.0,,
Selling General And Administration,10000000.0,8986000.0,9274000.0,9758000.0,9566000.0,,
Selling And Marketing Expense,4412000.0,3916000.0,3885000.0,4378000.0,4055000.0,,
General And Administrative Expense,5588000.0,5070000.0,5389000.0,5380000.0,5511000.0,,
Other Gand A,5588000.0,5070000.0,5389000.0,5380000.0,5511000.0,,
Gross Profit,10763000.0,7173000.0,-12563000.0,1774000.0,3867000.0,,
Cost Of Revenue,13292000.0,11666000.0,29837000.0,12463000.0,8834000.0,,
Total Revenue,24055000.0,18839000.0,17274000.0,14237000.0,12701000.0,,
Operating Revenue,24055000.0,18839000.0,17274000.0,14237000.0,12701000.0,,
