,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,948570.0,0.0,-91980.0,0.0,-1168650.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,,
Normalized EBITDA,-5832000.0,3599000.0,6851000.0,-306000.0,-4326000.0,,
Total Unusual Items,4517000.0,,-438000.0,0.0,-5565000.0,,
Total Unusual Items Excluding Goodwill,4517000.0,,-438000.0,0.0,-5565000.0,,
Net Income From Continuing Operation Net Minority Interest,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Reconciled Depreciation,6334000.0,6547000.0,6889000.0,6792000.0,6962000.0,,
Reconciled Cost Of Revenue,138346000.0,137914000.0,146661000.0,144232000.0,135281000.0,,
EBITDA,-1315000.0,3599000.0,6413000.0,-306000.0,-9891000.0,,
EBIT,-7649000.0,-2948000.0,-476000.0,-7098000.0,-16853000.0,,
Net Interest Income,-2221000.0,-2250000.0,-1931000.0,-1975000.0,-1916000.0,,
Interest Expense,2398000.0,2507000.0,2357000.0,2407000.0,2613000.0,,
Interest Income,177000.0,257000.0,426000.0,432000.0,697000.0,,
Normalized Income,-14960430.0,-7632000.0,-3637980.0,-10295000.0,-15449650.0,,
Net Income From Continuing And Discontinued Operation,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Total Expenses,150961000.0,150588000.0,157837000.0,155922000.0,148995000.0,,
Total Operating Income As Reported,-7564000.0,-3216000.0,-823000.0,-6926000.0,-17643000.0,,
Diluted Average Shares,18288000.0,18255000.0,,18169000.0,18110000.0,18084000.0,
Basic Average Shares,18288000.0,18255000.0,,18169000.0,18110000.0,18084000.0,
Diluted EPS,-0.62,-0.42,,-0.57,-1.1,-0.73,
Basic EPS,-0.62,-0.42,,-0.57,-1.1,-0.73,
Diluted NI Availto Com Stockholders,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Net Income Common Stockholders,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Net Income,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Net Income Including Noncontrolling Interests,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Net Income Continuous Operations,-11392000.0,-7632000.0,-3984000.0,-10295000.0,-19846000.0,,
Tax Provision,1345000.0,2177000.0,1151000.0,790000.0,380000.0,,
Pretax Income,-10047000.0,-5455000.0,-2833000.0,-9505000.0,-19466000.0,,
Other Income Expense,4255000.0,11000.0,-517000.0,-604000.0,-5472000.0,,
Special Income Charges,4296000.0,,-62000.0,0.0,-5101000.0,,
Gain On Sale Of Ppe,4296000.0,,,,0.0,,
Restructuring And Mergern Acquisition,0.0,,0.0,0.0,5101000.0,,
Earnings From Equity Interest,-262000.0,11000.0,-79000.0,-604000.0,93000.0,,
Gain On Sale Of Security,221000.0,,,,-464000.0,,
Net Non Operating Interest Income Expense,-2221000.0,-2250000.0,-1931000.0,-1975000.0,-1916000.0,,
Interest Expense Non Operating,2398000.0,2507000.0,2357000.0,2407000.0,2613000.0,,
Interest Income Non Operating,177000.0,257000.0,426000.0,432000.0,697000.0,,
Operating Income,-12081000.0,-3216000.0,-385000.0,-6926000.0,-12078000.0,,
Operating Expense,12615000.0,12674000.0,11176000.0,11690000.0,13714000.0,,
Other Operating Expenses,-210000.0,520000.0,-379000.0,139000.0,17000.0,,
Other Taxes,,,,,,,0.0
Provision For Doubtful Accounts,-96000.0,312000.0,312000.0,179000.0,1289000.0,,
Selling General And Administration,12921000.0,11842000.0,11243000.0,11372000.0,12408000.0,,
Gross Profit,534000.0,9458000.0,10791000.0,4764000.0,1636000.0,,
Cost Of Revenue,138346000.0,137914000.0,146661000.0,144232000.0,135281000.0,,
Total Revenue,138880000.0,147372000.0,157452000.0,148996000.0,136917000.0,,
Operating Revenue,138880000.0,147372000.0,157452000.0,148996000.0,136917000.0,,
