,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.316989,0.279135,0.274356,0.250973,0.262296,
Net Income From Continuing Operation Net Minority Interest,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Reconciled Depreciation,842000.0,586000.0,632000.0,574000.0,435000.0,
Net Interest Income,24901000.0,24944000.0,26242000.0,26568000.0,26239000.0,
Interest Expense,48337000.0,46702000.0,45001000.0,42724000.0,39850000.0,
Interest Income,73238000.0,71646000.0,71243000.0,69292000.0,66089000.0,
Normalized Income,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Net Income From Continuing And Discontinued Operation,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Diluted Average Shares,,25964424.0,25964424.0,25964424.0,,25957755.0
Basic Average Shares,,25964424.0,25964424.0,25964424.0,,25957755.0
Diluted EPS,,0.36,0.45,0.48,,0.38
Basic EPS,,0.36,0.45,0.48,,0.38
Diluted NI Availto Com Stockholders,5269000.0,9458000.0,11581000.0,12452000.0,12232000.0,
Net Income Common Stockholders,5269000.0,9458000.0,11581000.0,12452000.0,12232000.0,
Preferred Stock Dividends,247000.0,247000.0,247000.0,247000.0,247000.0,
Net Income,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Net Income Including Noncontrolling Interests,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Net Income Continuous Operations,5516000.0,9705000.0,11828000.0,12699000.0,12479000.0,
Tax Provision,2560000.0,3758000.0,4472000.0,4255000.0,4437000.0,
Pretax Income,8076000.0,13463000.0,16300000.0,16954000.0,16916000.0,
Selling General And Administration,17776000.0,12340000.0,10966000.0,10871000.0,11452000.0,
General And Administrative Expense,17776000.0,12340000.0,10966000.0,10871000.0,11452000.0,
Other Gand A,6446000.0,4833000.0,3557000.0,4333000.0,4163000.0,
Salaries And Wages,11330000.0,7507000.0,7409000.0,6538000.0,7289000.0,
Total Revenue,27285000.0,26996000.0,28501000.0,28851000.0,29173000.0,
Operating Revenue,27285000.0,26996000.0,28501000.0,28851000.0,29173000.0,
Occupancy And Equipment,1589000.0,1194000.0,1219000.0,1153000.0,989000.0,
