,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-3408720.0,178500.0,-1166550.0,130200.0,-227218.584431,
Tax Rate For Calcs,0.21,0.051,0.21,0.1,0.22103,
Normalized EBITDA,22971000.0,3026000.0,15251000.0,21425000.0,14128000.0,
Total Unusual Items,-16232000.0,3500000.0,-5555000.0,1302000.0,-1028000.0,
Total Unusual Items Excluding Goodwill,-16232000.0,3500000.0,-5555000.0,1302000.0,-1028000.0,
Net Income From Continuing Operation Net Minority Interest,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Reconciled Depreciation,5489000.0,5362000.0,6253000.0,5878000.0,5738000.0,
Reconciled Cost Of Revenue,36487000.0,31280000.0,31353000.0,32957000.0,32657000.0,
EBITDA,6739000.0,6526000.0,9696000.0,22727000.0,13100000.0,
EBIT,1250000.0,1164000.0,3443000.0,16849000.0,7362000.0,
Net Interest Income,2937000.0,2762000.0,2861000.0,2897000.0,2698000.0,
Interest Expense,0.0,,0.0,1000.0,1000.0,0.0
Interest Income,2937000.0,2762000.0,2861000.0,2898000.0,2699000.0,
Normalized Income,11843280.0,3725500.0,9501450.0,13983200.0,6534781.415569,
Net Income From Continuing And Discontinued Operation,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Total Expenses,115852000.0,113309000.0,112598000.0,103190000.0,108965000.0,
Rent Expense Supplemental,2807000.0,3111000.0,,2736000.0,2539000.0,2553000.0
Total Operating Income As Reported,-5268000.0,2904000.0,4175000.0,12017000.0,4606000.0,
Diluted Average Shares,78391502.0,80056024.0,79905412.0,78464654.0,77163149.0,
Basic Average Shares,78391502.0,78028254.0,77608924.0,77013831.0,76538325.0,
Diluted EPS,-0.01,0.09,0.06,0.19,0.07,
Basic EPS,-0.01,0.09,0.07,0.2,0.07,
Diluted NI Availto Com Stockholders,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Net Income Common Stockholders,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Net Income,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Net Income Including Noncontrolling Interests,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Net Income Continuous Operations,-980000.0,7047000.0,5113000.0,15155000.0,5734000.0,
Tax Provision,2230000.0,381000.0,-1670000.0,1693000.0,1627000.0,
Pretax Income,1250000.0,7428000.0,3443000.0,16848000.0,7361000.0,
Other Income Expense,-15999000.0,3502000.0,-5452000.0,1281000.0,-800000.0,
Other Non Operating Income Expenses,233000.0,2000.0,103000.0,-21000.0,228000.0,
Special Income Charges,-19580000.0,1954000.0,-2754000.0,-185000.0,-857000.0,
Write Off,20505000.0,,,,0.0,
Impairment Of Capital Assets,,0.0,2754000.0,185000.0,0.0,429000.0
Restructuring And Mergern Acquisition,-925000.0,-1954000.0,,,857000.0,5000.0
Gain On Sale Of Security,3348000.0,1546000.0,-2801000.0,1487000.0,-171000.0,
Net Non Operating Interest Income Expense,2937000.0,2762000.0,2861000.0,2897000.0,2698000.0,
Interest Expense Non Operating,0.0,,0.0,1000.0,1000.0,0.0
Interest Income Non Operating,2937000.0,2762000.0,2861000.0,2898000.0,2699000.0,
Operating Income,14312000.0,1164000.0,6034000.0,12670000.0,5463000.0,
Operating Expense,75457000.0,78344000.0,72720000.0,66340000.0,72450000.0,
Other Taxes,,-214000.0,895000.0,-468000.0,-353000.0,-570000.0
Depreciation Amortization Depletion Income Statement,1581000.0,1677000.0,-2272000.0,1985000.0,1880000.0,
Depreciation And Amortization In Income Statement,1581000.0,1677000.0,-2272000.0,1985000.0,1880000.0,
Amortization,621000.0,622000.0,798000.0,880000.0,881000.0,
Amortization Of Intangibles Income Statement,621000.0,622000.0,798000.0,880000.0,881000.0,
Depreciation Income Statement,960000.0,1055000.0,,1105000.0,999000.0,966000.0
Research And Development,16264000.0,17720000.0,19290000.0,17574000.0,16465000.0,
Selling General And Administration,57612000.0,59161000.0,54807000.0,47249000.0,54105000.0,
Selling And Marketing Expense,7715000.0,6819000.0,7679000.0,6798000.0,7135000.0,
General And Administrative Expense,49897000.0,52342000.0,47128000.0,40451000.0,46970000.0,
Other Gand A,8229000.0,11423000.0,22820000.0,2943000.0,4243000.0,
Rent And Landing Fees,2807000.0,3111000.0,,2736000.0,2539000.0,2553000.0
Salaries And Wages,38861000.0,37808000.0,32136000.0,34772000.0,40188000.0,
Gross Profit,89769000.0,79508000.0,78754000.0,79010000.0,77913000.0,
Cost Of Revenue,40395000.0,34965000.0,39878000.0,36850000.0,36515000.0,
Total Revenue,130164000.0,114473000.0,118632000.0,115860000.0,114428000.0,
Operating Revenue,130164000.0,114473000.0,118632000.0,115860000.0,114428000.0,
