,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,3936212.796048,-10489009.104949,96435336.889872,-10685026.561729,-18924874.198101,
Tax Rate For Calcs,0.2156,0.208136,0.2497,0.325733,0.17614,
Normalized EBITDA,1893855000.0,2499748000.0,2900732000.0,1504552000.0,2424078000.0,
Total Unusual Items,18257000.0,-50395000.0,386205000.0,-32803000.0,-107442000.0,
Total Unusual Items Excluding Goodwill,18257000.0,-50395000.0,386205000.0,-32803000.0,-107442000.0,
Net Income From Continuing Operation Net Minority Interest,1489749000.0,1942845000.0,2446679000.0,1045339000.0,1931207000.0,
Reconciled Cost Of Revenue,19751363000.0,20186333000.0,25596304000.0,15720539000.0,20533956000.0,
EBITDA,1912112000.0,2449353000.0,3286937000.0,1471749000.0,2316636000.0,
EBIT,1912112000.0,2449353000.0,3286937000.0,1471749000.0,2316636000.0,
Net Interest Income,172469000.0,212710000.0,209868000.0,158756000.0,177990000.0,
Interest Expense,23482000.0,10240000.0,17560000.0,15895000.0,13666000.0,
Interest Income,195951000.0,222950000.0,227428000.0,174651000.0,191656000.0,
Normalized Income,1475428212.796048,1982750990.895051,2156909336.889872,1067456973.438271,2019724125.801899,
Net Income From Continuing And Discontinued Operation,1489749000.0,1942845000.0,2446679000.0,1045339000.0,1931207000.0,
Total Expenses,24108456000.0,23991745000.0,30550539000.0,19346040000.0,24642746000.0,
Total Operating Income As Reported,1697904000.0,2276798000.0,2851228000.0,1329901000.0,2232422000.0,
Diluted Average Shares,511765820.0,521575550.0,521501400.0,530188575.0,553677165.0,
Basic Average Shares,506145740.0,513411425.0,513444495.0,522481345.0,543549990.0,
Diluted EPS,2.91,3.724,4.692,1.972,3.488,
Basic EPS,2.944,3.784,4.766,2.0,3.552,
Diluted NI Availto Com Stockholders,1489749000.0,1942845000.0,2446679000.0,1045339000.0,1931207000.0,
Net Income Common Stockholders,1489749000.0,1942845000.0,2446679000.0,1045339000.0,1931207000.0,
Net Income,1489749000.0,1942845000.0,2446679000.0,1045339000.0,1931207000.0,
Minority Interests,-28049000.0,-37466000.0,-39134000.0,-15338000.0,-13320000.0,
Net Income Including Noncontrolling Interests,1517798000.0,1980311000.0,2485813000.0,1060677000.0,1944527000.0,
Net Income Continuous Operations,1517798000.0,1980311000.0,2485813000.0,1060677000.0,1944527000.0,
Earnings From Equity Interest Net Of Tax,36357000.0,48865000.0,32799000.0,79043000.0,47203000.0,
Tax Provision,407189000.0,507667000.0,816363000.0,474220000.0,405646000.0,
Pretax Income,1888630000.0,2439113000.0,3269377000.0,1455854000.0,2302970000.0,
Other Income Expense,18257000.0,-50395000.0,386205000.0,-32803000.0,-107442000.0,
Special Income Charges,0.0,,174924000.0,-43555000.0,-14691000.0,168940000.0
Write Off,0.0,,3000000.0,43555000.0,14691000.0,0.0
Gain On Sale Of Security,18257000.0,-50395000.0,211281000.0,10752000.0,-92751000.0,
Net Non Operating Interest Income Expense,172469000.0,212710000.0,209868000.0,158756000.0,177990000.0,
Interest Expense Non Operating,23482000.0,10240000.0,17560000.0,15895000.0,13666000.0,
Interest Income Non Operating,195951000.0,222950000.0,227428000.0,174651000.0,191656000.0,
Operating Income,1697904000.0,2276798000.0,2673304000.0,1329901000.0,2232422000.0,
Operating Expense,4357093000.0,3805412000.0,4954235000.0,3625501000.0,4108790000.0,
Other Operating Expenses,2344855000.0,2122469000.0,2818841000.0,2049888000.0,2467457000.0,
Selling General And Administration,2012238000.0,1682943000.0,2135394000.0,1575613000.0,1641333000.0,
Selling And Marketing Expense,715900000.0,732148000.0,930293000.0,617815000.0,740662000.0,
General And Administrative Expense,1296338000.0,950795000.0,1205101000.0,957798000.0,900671000.0,
Other Gand A,1296338000.0,950795000.0,1205101000.0,957798000.0,900671000.0,
Gross Profit,6054997000.0,6082210000.0,7627539000.0,4955402000.0,6341212000.0,
Cost Of Revenue,19751363000.0,20186333000.0,25596304000.0,15720539000.0,20533956000.0,
Total Revenue,25806360000.0,26268543000.0,33223843000.0,20675941000.0,26875168000.0,
Operating Revenue,23797383000.0,24293121000.0,30889540000.0,18920273000.0,25077607000.0,
