GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-07 10:07:27,Mizuho,Outperform,Neutral,up
2024-07-25 19:33:21,TD Cowen,Buy,Buy,main
2024-07-25 15:33:13,Goldman Sachs,Buy,Buy,main
2024-06-14 13:50:15,Evercore ISI Group,Outperform,Outperform,main
2024-05-17 15:05:32,Goldman Sachs,Buy,Buy,main
2024-05-15 10:57:15,B of A Securities,Buy,Buy,main
2024-04-26 13:16:51,Mizuho,Neutral,Neutral,main
2024-04-25 22:17:41,Citigroup,Buy,Buy,main
2024-04-25 14:19:43,Evercore ISI Group,Outperform,Outperform,main
2024-04-25 12:56:46,JP Morgan,Overweight,Overweight,main
2024-04-25 12:19:47,Oppenheimer,Outperform,Outperform,main
2024-04-11 12:50:21,JP Morgan,Overweight,Overweight,main
2024-04-08 23:10:28,Citigroup,Buy,Buy,main
2024-04-05 16:47:40,Evercore ISI Group,Outperform,Outperform,main
2024-04-05 10:27:54,Oppenheimer,Outperform,,init
2024-03-18 11:22:47,B of A Securities,Buy,Buy,main
2024-03-13 13:44:34,Evercore ISI Group,Outperform,Outperform,main
2024-02-22 16:45:27,JP Morgan,Overweight,Overweight,main
2024-02-22 16:22:32,Mizuho,Neutral,Neutral,main
2024-02-20 16:12:07,Evercore ISI Group,Outperform,Outperform,main
2023-12-11 17:05:06,Citigroup,Buy,Buy,main
2023-12-01 15:17:47,Goldman Sachs,Buy,Buy,main
2023-11-30 19:15:05,JP Morgan,Overweight,Overweight,main
2023-11-30 14:58:38,Goldman Sachs,Buy,Buy,main
2023-10-26 18:34:07,Mizuho,Neutral,Neutral,main
2023-10-26 14:39:02,Citigroup,Buy,Buy,main
2023-10-09 16:01:41,Citigroup,Buy,Buy,main
2023-09-14 15:56:23,Deutsche Bank,Buy,Buy,main
2023-09-07 13:14:51,Evercore ISI Group,Outperform,Outperform,main
2023-09-05 13:51:09,Goldman Sachs,Buy,Buy,main
2023-08-11 14:26:02,TD Cowen,Outperform,Outperform,main
2023-08-04 14:07:44,Goldman Sachs,Buy,Buy,main
2023-08-03 13:13:59,Mizuho,Neutral,Neutral,main
2023-08-02 15:28:57,B of A Securities,Buy,Underperform,up
2023-06-29 14:34:10,Evercore ISI Group,Outperform,Outperform,main
2023-06-16 13:19:08,Mizuho,Neutral,Neutral,main
2023-06-16 13:09:22,Citigroup,Buy,Buy,main
2023-06-13 16:50:24,TD Cowen,Outperform,Outperform,main
2023-06-09 14:13:43,Vertical Research,Buy,Hold,up
2023-04-27 16:35:29,Citigroup,Buy,,main
2023-04-27 11:29:06,TD Cowen,Outperform,,main
2023-02-23 14:30:14,JP Morgan,Overweight,,main
2023-02-23 13:32:01,Citigroup,Buy,,main
2023-01-13 13:53:10,Mizuho,Neutral,,main
2022-12-09 17:48:08,Citigroup,Buy,,main
2022-12-01 11:18:03,Wolfe Research,Outperform,Peer Perform,up
2022-10-27 11:26:55,Cowen & Co.,Outperform,Market Perform,up
2022-10-04 13:31:58,Goldman Sachs,Buy,,main
2022-10-04 12:39:14,Deutsche Bank,Buy,,main
2022-08-04 13:10:42,Goldman Sachs,Buy,,main
2022-07-18 11:22:48,Mizuho,Neutral,,main
2022-07-13 15:42:56,Deutsche Bank,Buy,,main
2022-06-01 12:10:42,Goldman Sachs,Buy,,main
2022-04-01 08:59:11,JP Morgan,Overweight,Neutral,up
2022-03-22 12:36:38,Goldman Sachs,Buy,,main
2022-02-24 15:47:49,Mizuho,Neutral,,main
2022-02-24 14:32:42,Deutsche Bank,Buy,,main
2022-02-24 12:28:03,Cowen & Co.,Market Perform,Outperform,down
2022-02-23 13:32:17,Vertical Research,Hold,Buy,down
2021-12-17 10:37:37,Mizuho,Neutral,,init
2021-12-14 10:10:13,Wolfe Research,Peer Perform,Outperform,down
2021-09-13 09:00:33,JP Morgan,Neutral,Overweight,down
2021-04-08 11:18:49,JP Morgan,Overweight,,init
2020-11-12 12:49:08,Guggenheim,Buy,,init
2020-09-15 09:48:08,Wolfe Research,Outperform,,init
2020-08-20 11:14:44,B of A Securities,Buy,,init
2020-05-07 12:05:34,Deutsche Bank,Buy,,main
2020-03-13 09:24:31,Goldman Sachs,Buy,,init
