GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-07 16:56:14,RBC Capital,Outperform,Outperform,reit
2024-05-17 15:02:50,JMP Securities,Market Outperform,Market Outperform,reit
2024-05-08 18:31:19,RBC Capital,Outperform,Outperform,main
2024-05-08 13:28:00,Stifel,Hold,Hold,main
2024-03-06 18:16:07,JMP Securities,Market Outperform,Market Outperform,reit
2024-03-06 15:26:22,RBC Capital,Outperform,Outperform,reit
2024-02-06 17:33:27,JMP Securities,Market Outperform,Market Outperform,reit
2024-01-19 14:07:12,RBC Capital,Outperform,Outperform,reit
2024-01-05 11:07:20,Stifel,Hold,Buy,down
2023-11-13 09:47:44,JMP Securities,Market Outperform,,init
2023-11-07 19:12:20,Raymond James,Strong Buy,Strong Buy,main
2023-11-07 18:28:16,RBC Capital,Outperform,Outperform,main
2023-08-09 15:46:32,RBC Capital,Outperform,Outperform,main
2023-08-09 11:48:43,Raymond James,Strong Buy,Strong Buy,main
2023-05-10 15:40:10,RBC Capital,Outperform,,reit
2023-03-03 12:24:59,Raymond James,Strong Buy,,main
2023-01-26 09:41:28,RBC Capital,Outperform,,init
2022-09-09 11:46:42,Raymond James,Strong Buy,,init
2022-08-10 11:58:55,Stifel,Buy,Hold,up
2022-04-01 11:05:25,Truist Securities,Buy,,init
2020-03-05 12:11:38,B. Riley FBR,Buy,,main
2020-01-06 14:14:15,Stifel,Buy,Hold,up
2019-11-06 14:27:57,B. Riley,Buy,,main
2019-06-26 10:57:11,B. Riley,Buy,,init
2019-04-17 10:55:45,Drexel Hamilton,Buy,Hold,up
2018-03-07 12:55:24,Noble Financial,Hold,Buy,down
2018-03-05 13:20:03,Drexel Hamilton,Hold,Buy,down
2016-09-30 10:17:06,Stifel Nicolaus,Hold,,main
2016-03-16 19:13:49,Sidoti & Co.,Buy,Neutral,down
2016-01-08 15:09:22,Sidoti & Co.,Buy,Neutral,up
2015-10-27 13:37:25,Sidoti & Co.,Neutral,,init
2015-07-28 12:05:38,BB&T Capital,Hold,,init
2015-05-21 09:56:52,Stifel Nicolaus,Hold,,init
2015-03-18 09:27:45,CRT Capital,Fair Value,Buy,down
2014-10-07 12:30:00,CRT Capital,Buy,,init
