,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-3035000.0,-5475000.0,-3409000.0,-4426490.0,-4735000.0,
Total Unusual Items,76000.0,605000.0,-1645000.0,-169575.0,519000.0,
Total Unusual Items Excluding Goodwill,76000.0,605000.0,-1645000.0,-169575.0,519000.0,
Net Income From Continuing Operation Net Minority Interest,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Reconciled Depreciation,539000.0,50000.0,48000.0,-498502.0,596000.0,
Reconciled Cost Of Revenue,306000.0,122000.0,109000.0,9058.0,48000.0,
EBITDA,-2959000.0,-4870000.0,-5054000.0,-4596065.0,-4216000.0,
EBIT,-3498000.0,-4920000.0,-5102000.0,-4596065.0,-4812000.0,
Net Interest Income,10000.0,57000.0,148000.0,161144.0,179000.0,
Interest Income,10000.0,57000.0,148000.0,161144.0,179000.0,
Normalized Income,-3488000.0,-4863000.0,-4954000.0,-4434921.0,-4633000.0,
Net Income From Continuing And Discontinued Operation,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Total Expenses,3728000.0,4966000.0,5166000.0,4687732.0,4981000.0,
Total Operating Income As Reported,-3581000.0,-4651000.0,-6665000.0,-4596065.0,-5081000.0,
Diluted Average Shares,6834170.0,6539202.0,5961186.0,,4762187.0,4562079.0
Basic Average Shares,6834170.0,6539202.0,5961186.0,,4762187.0,4562079.0
Diluted EPS,-0.5,-0.65,-1.11,,-0.86,-0.88
Basic EPS,-0.5,-0.65,-1.11,,-0.86,-0.88
Diluted NI Availto Com Stockholders,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Net Income Common Stockholders,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Net Income,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Net Income Including Noncontrolling Interests,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Net Income Continuous Operations,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Pretax Income,-3412000.0,-4258000.0,-6599000.0,-4604496.0,-4114000.0,
Other Income Expense,76000.0,605000.0,-1645000.0,-169575.0,519000.0,
Special Income Charges,-83000.0,269000.0,-1563000.0,0.0,-269000.0,
Restructuring And Mergern Acquisition,83000.0,-269000.0,1563000.0,0.0,269000.0,
Gain On Sale Of Security,159000.0,336000.0,-82000.0,-169575.0,788000.0,
Net Non Operating Interest Income Expense,10000.0,57000.0,148000.0,161144.0,179000.0,
Interest Income Non Operating,10000.0,57000.0,148000.0,161144.0,179000.0,
Operating Income,-3498000.0,-4920000.0,-5102000.0,-4596065.0,-4812000.0,
Operating Expense,3422000.0,4844000.0,5057000.0,4678674.0,4933000.0,
Research And Development,1701000.0,2439000.0,2349000.0,2391791.0,2460000.0,
Selling General And Administration,1721000.0,2405000.0,2708000.0,2286883.0,2473000.0,
Selling And Marketing Expense,699000.0,819000.0,873000.0,778230.0,774000.0,
General And Administrative Expense,1022000.0,1586000.0,1835000.0,1508653.0,1699000.0,
Other Gand A,1022000.0,1586000.0,1835000.0,1508653.0,1699000.0,
Gross Profit,-76000.0,-76000.0,-45000.0,82609.0,121000.0,
Cost Of Revenue,306000.0,122000.0,109000.0,9058.0,48000.0,
Total Revenue,230000.0,46000.0,64000.0,91667.0,169000.0,
Operating Revenue,230000.0,46000.0,64000.0,91667.0,169000.0,
