,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,80300.931547,-77517.0,-534902.527504,-11362.0,-37126.02664,
Tax Rate For Calcs,0.244076,0.243,0.239437,0.247,0.234975,
Total Unusual Items,329000.0,-319000.0,-2234000.0,-46000.0,-158000.0,
Total Unusual Items Excluding Goodwill,329000.0,-319000.0,-2234000.0,-46000.0,-158000.0,
Net Income From Continuing Operation Net Minority Interest,72326000.0,65896000.0,64202000.0,64435000.0,69273000.0,
Reconciled Depreciation,9107000.0,9597000.0,9527000.0,9591000.0,9716000.0,
Net Interest Income,179495000.0,175216000.0,178207000.0,177504000.0,174449000.0,
Interest Expense,73695000.0,75662000.0,85132000.0,95880000.0,90788000.0,
Interest Income,253190000.0,250878000.0,263339000.0,273384000.0,265237000.0,
Normalized Income,72077300.931547,66137483.0,65901097.472496,64469638.0,69393873.97336,
Net Income From Continuing And Discontinued Operation,72326000.0,65896000.0,64202000.0,64435000.0,69273000.0,
Diluted Average Shares,56851797.0,58713452.0,59078572.0,59393651.0,59958628.0,
Basic Average Shares,56702264.0,58451947.0,58657209.0,59185848.0,59833207.0,
Diluted EPS,1.27,1.12,1.09,1.08,1.16,
Basic EPS,1.28,1.13,1.094529,1.09,1.16,
Diluted NI Availto Com Stockholders,72326000.0,65896000.0,64202000.0,64435000.0,69273000.0,
Net Income Common Stockholders,72326000.0,65896000.0,64202000.0,64435000.0,69273000.0,
Net Income,72326000.0,65896000.0,64202000.0,64435000.0,69273000.0,
Minority Interests,105000.0,29000.0,47000.0,26000.0,65000.0,
Net Income Including Noncontrolling Interests,72221000.0,65867000.0,64155000.0,64409000.0,69208000.0,
Net Income Continuous Operations,72221000.0,65867000.0,64155000.0,64409000.0,69208000.0,
Tax Provision,23319000.0,21101000.0,20197000.0,21108000.0,21257000.0,
Pretax Income,95540000.0,86968000.0,84352000.0,85517000.0,90465000.0,
Special Income Charges,329000.0,-319000.0,-2234000.0,-46000.0,-158000.0,
Other Special Charges,,,-20000.0,,,1300000.0
Restructuring And Mergern Acquisition,-329000.0,319000.0,2254000.0,46000.0,158000.0,
Gain On Sale Of Security,18000.0,1000.0,123000.0,56000.0,2131000.0,
Selling General And Administration,93503000.0,86750000.0,92404000.0,91059000.0,87659000.0,
Selling And Marketing Expense,1925000.0,1695000.0,1969000.0,2053000.0,2020000.0,
General And Administrative Expense,91578000.0,85055000.0,90435000.0,89006000.0,85639000.0,
Insurance And Claims,2433000.0,2578000.0,2932000.0,2882000.0,2390000.0,
Salaries And Wages,89145000.0,82477000.0,87503000.0,86124000.0,83249000.0,
Total Revenue,267504000.0,256114000.0,261514000.0,267662000.0,266048000.0,
Operating Revenue,267504000.0,256114000.0,261514000.0,267662000.0,266048000.0,
Occupancy And Equipment,22607000.0,22621000.0,22040000.0,21671000.0,21441000.0,
Professional Expense And Contract Services Expense,6211000.0,4698000.0,7083000.0,3819000.0,4781000.0,
Other Non Interest Expense,37122000.0,37867000.0,45719000.0,46244000.0,43307000.0,
