,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.235441,0.161,0.21,0.21,0.146489,
Normalized EBITDA,236600000.0,221800000.0,221500000.0,210900000.0,242400000.0,
Total Unusual Items,,,0.0,0.0,,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,,0.0
Net Income From Continuing Operation Net Minority Interest,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Reconciled Depreciation,40200000.0,41900000.0,43400000.0,43000000.0,46100000.0,
Reconciled Cost Of Revenue,642800000.0,619200000.0,661700000.0,653600000.0,663900000.0,
EBITDA,236600000.0,221800000.0,221500000.0,210900000.0,242400000.0,
EBIT,196400000.0,179900000.0,178100000.0,167900000.0,196300000.0,
Net Interest Income,-34900000.0,-30900000.0,-28100000.0,-29400000.0,-27400000.0,
Interest Expense,36700000.0,32600000.0,30400000.0,32200000.0,31100000.0,
Interest Income,1800000.0,1700000.0,2300000.0,2800000.0,3700000.0,
Normalized Income,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Net Income From Continuing And Discontinued Operation,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Total Expenses,833400000.0,806200000.0,880100000.0,871100000.0,875700000.0,
Total Operating Income As Reported,192700000.0,177400000.0,178100000.0,164900000.0,190700000.0,
Diluted Average Shares,329600000.0,339200000.0,339800000.0,339500000.0,339600000.0,
Basic Average Shares,328900000.0,337700000.0,338400000.0,338300000.0,338600000.0,
Diluted EPS,0.37,0.36,1.13,0.78,0.41,
Basic EPS,0.37,0.37,1.14,0.78,0.42,
Diluted NI Availto Com Stockholders,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Net Income Common Stockholders,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Net Income,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Net Income Including Noncontrolling Interests,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Net Income Continuous Operations,122100000.0,123500000.0,385700000.0,264800000.0,141000000.0,
Tax Provision,37600000.0,23800000.0,-238000000.0,-129100000.0,24200000.0,
Pretax Income,159700000.0,147300000.0,147700000.0,135700000.0,165200000.0,
Other Income Expense,1900000.0,800000.0,-2300000.0,200000.0,1900000.0,
Other Non Operating Income Expenses,1900000.0,800000.0,-2300000.0,200000.0,1900000.0,
Special Income Charges,,,0.0,0.0,,0.0
Gain On Sale Of Business,,,0.0,0.0,,0.0
Net Non Operating Interest Income Expense,-34900000.0,-30900000.0,-28100000.0,-29400000.0,-27400000.0,
Interest Expense Non Operating,36700000.0,32600000.0,30400000.0,32200000.0,31100000.0,
Interest Income Non Operating,1800000.0,1700000.0,2300000.0,2800000.0,3700000.0,
Operating Income,192700000.0,177400000.0,178100000.0,164900000.0,190700000.0,
Operating Expense,190600000.0,187000000.0,218400000.0,217500000.0,211800000.0,
Selling General And Administration,190600000.0,187000000.0,218400000.0,217500000.0,211800000.0,
Gross Profit,383300000.0,364400000.0,396500000.0,382400000.0,402500000.0,
Cost Of Revenue,642800000.0,619200000.0,661700000.0,653600000.0,663900000.0,
Total Revenue,1026100000.0,983600000.0,1058200000.0,1036000000.0,1066400000.0,
Operating Revenue,1026100000.0,983600000.0,1058200000.0,1036000000.0,1066400000.0,
