,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.204135,0.21,0.262229,0.21,
Normalized EBITDA,10565000.0,-224000.0,-1107000.0,-369000.0,1869000.0,
Net Income From Continuing Operation Net Minority Interest,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Reconciled Depreciation,9170000.0,8688000.0,8493000.0,5006000.0,5073000.0,
Reconciled Cost Of Revenue,27105000.0,26278000.0,26247000.0,22293000.0,21546000.0,
EBITDA,10565000.0,-224000.0,-1107000.0,-369000.0,1869000.0,
EBIT,1395000.0,-8912000.0,-9600000.0,-5375000.0,-3204000.0,
Net Interest Income,-10000.0,295000.0,601000.0,2271000.0,1968000.0,
Interest Expense,642000.0,229000.0,222000.0,124000.0,392000.0,
Interest Income,632000.0,524000.0,823000.0,2395000.0,2360000.0,
Normalized Income,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Net Income From Continuing And Discontinued Operation,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Total Expenses,108365000.0,122179000.0,124357000.0,105453000.0,101416000.0,
Total Operating Income As Reported,1118000.0,-9088000.0,-10368000.0,-7566000.0,-5426000.0,
Diluted Average Shares,131272117.0,,128036993.0,126535481.0,125387162.0,125552028.0
Basic Average Shares,125651595.0,,128036993.0,126535481.0,125387162.0,124337640.0
Diluted EPS,0.01,,-0.1,-0.03,-0.03,0.01
Basic EPS,0.01,,-0.1,-0.03,-0.03,0.01
Diluted NI Availto Com Stockholders,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Net Income Common Stockholders,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Net Income,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Net Income Including Noncontrolling Interests,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Net Income Continuous Operations,770000.0,-7275000.0,-12799000.0,-4057000.0,-3817000.0,
Tax Provision,-17000.0,-1866000.0,2977000.0,-1442000.0,221000.0,
Pretax Income,753000.0,-9141000.0,-9822000.0,-5499000.0,-3596000.0,
Other Income Expense,-355000.0,-348000.0,-55000.0,-204000.0,-138000.0,
Other Non Operating Income Expenses,-355000.0,-348000.0,-55000.0,-204000.0,-138000.0,
Net Non Operating Interest Income Expense,-10000.0,295000.0,601000.0,2271000.0,1968000.0,
Interest Expense Non Operating,642000.0,229000.0,222000.0,124000.0,392000.0,
Interest Income Non Operating,632000.0,524000.0,823000.0,2395000.0,2360000.0,
Operating Income,1118000.0,-9088000.0,-10368000.0,-7566000.0,-5426000.0,
Operating Expense,81260000.0,95901000.0,98110000.0,83160000.0,79870000.0,
Research And Development,21896000.0,20492000.0,21070000.0,18580000.0,17059000.0,
Selling General And Administration,59364000.0,75409000.0,77040000.0,64580000.0,62811000.0,
Selling And Marketing Expense,36209000.0,45901000.0,43667000.0,41957000.0,43254000.0,
General And Administrative Expense,23155000.0,29508000.0,33373000.0,22623000.0,19557000.0,
Other Gand A,23155000.0,29508000.0,33373000.0,22623000.0,19557000.0,
Gross Profit,82378000.0,86813000.0,87742000.0,75594000.0,74444000.0,
Cost Of Revenue,27105000.0,26278000.0,26247000.0,22293000.0,21546000.0,
Total Revenue,109483000.0,113091000.0,113989000.0,97887000.0,95990000.0,
Operating Revenue,109483000.0,113091000.0,113989000.0,97887000.0,95990000.0,
