,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.006069,0.0,0.0,0.0,,
Normalized EBITDA,-55151000.0,-37307000.0,-55590000.0,-40948000.0,-39515000.0,,
Total Unusual Items,,,0.0,0.0,-152000.0,-694000.0,-300000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-152000.0,-694000.0,-300000.0
Net Income From Continuing Operation Net Minority Interest,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Reconciled Depreciation,12000.0,23000.0,33000.0,36000.0,35000.0,,
EBITDA,-55151000.0,-37307000.0,-55590000.0,-40948000.0,-39667000.0,,
EBIT,-55163000.0,-37330000.0,-55623000.0,-40984000.0,-39702000.0,,
Normalized Income,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37825000.0,,
Net Income From Continuing And Discontinued Operation,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Total Expenses,55163000.0,47330000.0,60623000.0,40984000.0,39702000.0,,
Total Operating Income As Reported,-55163000.0,-37330000.0,-55623000.0,-40984000.0,-39702000.0,,
Diluted Average Shares,41865400.0,41800802.0,,7697695.0,39792381.0,39792381.0,
Basic Average Shares,41865400.0,41800802.0,,7697695.0,39792381.0,39792381.0,
Diluted EPS,-1.25,-0.8,,-5.02,-0.954379,-0.698626,
Basic EPS,-1.25,-0.8,,-5.02,-0.954379,-0.698626,
Diluted NI Availto Com Stockholders,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Net Income Common Stockholders,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Otherunder Preferred Stock Dividend,,,,0.0,,,
Net Income,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Net Income Including Noncontrolling Interests,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Net Income Continuous Operations,-52223000.0,-33573000.0,-52604000.0,-38606000.0,-37977000.0,,
Tax Provision,20000.0,-205000.0,,,0.0,0.0,
Pretax Income,-52203000.0,-33778000.0,-52175000.0,-38606000.0,-37977000.0,,
Other Income Expense,2960000.0,3552000.0,3448000.0,2378000.0,1725000.0,,
Other Non Operating Income Expenses,2960000.0,3552000.0,3448000.0,2378000.0,1877000.0,,
Special Income Charges,,,0.0,0.0,,,0.0
Other Special Charges,,,,,,,0.0
Restructuring And Mergern Acquisition,,,0.0,0.0,,,0.0
Gain On Sale Of Security,,,0.0,,-152000.0,-694000.0,
Operating Income,-55163000.0,-37330000.0,-55623000.0,-40984000.0,-39702000.0,,
Operating Expense,55163000.0,47330000.0,60623000.0,40984000.0,39702000.0,,
Research And Development,43027000.0,34915000.0,49157000.0,33530000.0,33807000.0,,
Selling General And Administration,12136000.0,12415000.0,11466000.0,7454000.0,5895000.0,,
General And Administrative Expense,12136000.0,12415000.0,11466000.0,7454000.0,5895000.0,,
Other Gand A,4029000.0,4066000.0,3814000.0,2588000.0,2690000.0,,
Salaries And Wages,8107000.0,8349000.0,7652000.0,4866000.0,3205000.0,,
Total Revenue,0.0,10000000.0,5000000.0,0.0,0.0,,
Operating Revenue,0.0,10000000.0,5000000.0,0.0,0.0,,
